STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007505
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007502
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007503
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007500
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007501
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9009333
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9009332
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007508
DUMONT AVENUE,MOTHER GASTON BOULEVARD,ROCKAWAY AVENUE,Brooklyn,2,0,5/9/2019,,B-01366281 / 01366302,9007509
88 STREET,PARK LN SOUTH,JAMAICA AVENUE,Queens,1,0,5/8/2019,,B-01367694,52536
88 STREET,PARK LN SOUTH,JAMAICA AVENUE,Queens,1,0,5/8/2019,,B-01367694,52547
88 STREET,85 ROAD,JAMAICA AVENUE,Queens,3,0,5/8/2019,,B-01367694,52536
129 STREET,KEW GARDENS ROAD,METROPOLITAN AVENUE,Queens,1,0,5/7/2019,,B-01367666,56367
EUCLID AVENUE,ETNA STREET,RIDGEWOOD AVENUE,Brooklyn,1,0,5/7/2019,,B-01366204,48341
EAST 87 STREET,AVENUE A,AVENUE B,Brooklyn,1,0,5/7/2019,,B-01366359,109926
