ogc_fid,nodeid,vintersect,version,created,masterid,is_int,manual_fix,is_cntrln_int
"19046",20126,,19d,2019-12-13T10:04:53.983,"20126","1","0","1"
"19047",20127,,19d,2019-12-13T10:04:53.983,"20127","1","0","1"
"19048",20128,,19d,2019-12-13T10:04:53.983,"20128","1","0","1"
"19049",20129,,19d,2019-12-13T10:04:53.983,"20129","1","0","1"
"19050",20130,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19055",20136,,19d,2019-12-13T10:04:53.983,"20136","1","0","1"
"19060",20142,,19d,2019-12-13T10:04:53.983,"20142","1","0","1"
"19062",20144,,19d,2019-12-13T10:04:53.983,"20144","1","0","1"
"19100",20187,,19d,2019-12-13T10:04:53.983,"20187","1","0","1"
"19105",20192,,19d,2019-12-13T10:04:53.983,"20192","1","0","1"
"19106",20193,,19d,2019-12-13T10:04:53.983,"20193","1","0","1"
"19109",20198,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19110",20199,,19d,2019-12-13T10:04:53.983,"20204","1","0","1"
"19111",20200,,19d,2019-12-13T10:04:53.983,"20200","1","0","1"
"19112",20201,,19d,2019-12-13T10:04:53.983,"20201","1","0","1"
"19113",20202,,19d,2019-12-13T10:04:53.983,"20202","1","0","1"
"19114",20203,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19115",20204,,19d,2019-12-13T10:04:53.983,"20204","1","0","1"
"19116",20205,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19117",20206,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19118",20207,,19d,2019-12-13T10:04:53.983,"20207","1","0","1"
"19119",20208,,19d,2019-12-13T10:04:53.983,"20208","1","0","1"
"19120",20209,,19d,2019-12-13T10:04:53.983,"20209","1","0","1"
"19121",20210,,19d,2019-12-13T10:04:53.983,"20212","1","0","1"
"19122",20211,,19d,2019-12-13T10:04:53.983,"20211","1","0","1"
"19123",20212,,19d,2019-12-13T10:04:53.983,"20212","1","0","1"
